,Occupation,Marital_Status,Purchase_Sum,annual_income,number_of_children,proximity_town,sum,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,Gender_M,City_Category_B,City_Category_C,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+,outlier
0,0.28873365239692456,0,-0.45294446130687804,-0.4340665213179756,1.0502590241280048,-0.7973968291680399,38891,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1.2336801511504953,0,-0.46725881811915226,-0.2756203762014244,-0.9824278436223246,-0.7502482803400339,37417,0,0,0,0,0,1,1,0,1,0,0,0,1,1
2,1.0761890680249002,0,-0.3455770739822485,-0.4574941266278912,0.033915590252840085,-0.7319279101985425,49947,0,1,0,0,0,0,1,0,0,0,0,1,0,1
3,-0.18373959697986092,1,-0.18378793931977314,-0.08299231294922274,-0.9824278436223246,-0.7960792831219262,66607,0,0,0,1,0,0,1,1,0,0,1,0,0,1
4,1.863644483652876,1,-0.3384198955761114,-0.025106038969932964,0.033915590252840085,-0.7889034149579791,50684,0,1,0,0,0,0,1,0,0,1,0,0,0,1
5,0.13124256927132938,0,-0.14813800454510645,-0.28682012890851416,-0.9824278436223246,-0.7580051190440675,70278,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,-1.1286860957334317,1,-0.49445998055550244,-0.746474311926853,0.033915590252840085,-0.812872086165767,34616,0,0,1,0,0,0,1,1,0,1,0,0,0,1
7,0.6037158186481149,1,0.47421604611392104,-0.056809411463897314,0.033915590252840085,-0.8777097717128128,134364,0,1,0,0,0,0,1,0,1,0,0,0,1,-1
8,1.3911712342760905,0,-0.29915738228437144,-0.4844349185624889,-0.9824278436223246,-0.8093970160299496,54727,0,1,0,0,0,0,1,0,1,0,0,0,0,1
9,-1.1286860957334317,1,3.0534320163505058,2.198950964367809,1.0502590241280048,-0.831315740482964,399955,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
10,-1.1286860957334317,0,-0.17048355069506776,-0.45552536434462076,1.0502590241280048,-0.7727384259723501,67977,0,1,0,0,0,0,0,0,1,1,0,0,0,1
11,0.6037158186481149,0,-0.6158989438780867,-0.838051554414482,-0.9824278436223246,-0.870284040748574,22111,0,1,0,0,0,0,1,0,1,0,1,0,0,1
12,-1.1286860957334317,1,-0.2323052572533702,-0.5096045548124088,0.033915590252840085,-0.8371645328710452,61611,0,0,0,1,0,0,1,0,1,0,0,1,0,1
13,-1.286177178859027,0,-0.6142383231081417,-0.838051554414482,-0.9824278436223246,-0.6588378887163017,22282,0,0,1,0,0,0,1,0,1,0,0,0,0,1
14,-0.18373959697986092,0,1.0487131426543004,0.9375959663008245,0.033915590252840085,-0.783806640362707,193522,0,1,0,0,0,0,1,0,0,1,0,0,0,1
15,-1.286177178859027,1,-0.5809579290812328,-0.37808827581343596,-0.9824278436223246,-0.733863907436892,25709,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16,-1.1286860957334317,0,1.1269565434931696,1.0996972517678978,0.033915590252840085,-0.7265683885947153,201579,0,0,0,0,1,0,1,0,1,0,0,0,0,1
17,-0.8137039294822415,0,1.907846465902792,1.6357957123352103,-0.9824278436223246,-0.8222151647324847,281990,1,0,0,0,0,0,0,1,0,0,0,1,0,1
18,0.28873365239692456,0,1.6439145870398415,1.454564881365297,-0.9824278436223246,-0.8007745644601412,254812,0,0,0,0,0,0,1,0,0,0,0,1,0,1
19,0.9186979848993051,0,-0.5663522352917753,-0.838051554414482,0.033915590252840085,0.7117192325354325,27213,0,1,0,0,0,0,1,0,0,0,0,0,0,1
20,1.2336801511504953,0,-0.8009561917849374,-0.838051554414482,0.033915590252840085,-0.7650710562156069,3055,1,0,0,0,0,0,1,1,0,0,0,0,0,1
21,1.0761890680249002,0,0.6645076483774988,0.5374960271310437,0.033915590252840085,-0.889860683782586,153959,1,0,0,0,0,0,1,0,0,0,0,0,1,1
22,-1.286177178859027,1,1.9221511114824934,1.9815421083669391,-0.9824278436223246,-0.841323899575146,283463,0,0,1,0,0,0,1,1,0,0,0,1,0,1
23,-0.18373959697986092,1,-0.3187643608488095,-0.5624416084000861,0.033915590252840085,-0.8017701620896249,52708,0,1,0,0,0,0,0,0,0,0,0,1,0,1
24,-0.6562128463566463,0,-0.10152408819577378,-0.24067296492908732,-0.9824278436223246,-0.8300853416529218,75078,1,0,0,0,0,0,1,0,1,0,0,0,1,1
25,-0.18373959697986092,1,1.062095221139588,1.149556317693868,1.0502590241280048,-0.7637483805290367,194900,0,1,0,0,0,0,1,1,0,0,1,0,0,1
